instance,n,run,seed,sa_length,sa_runtime_sec,aco_length,aco_runtime_sec
medium,50,1,1000,6508.040682936323,0.265458,5795.858912104567,56.238499
medium,50,2,1001,6147.636420678342,0.250042,5811.052356269904,56.736443
medium,50,3,1002,6424.917191139056,0.253446,6095.0405880036205,57.803809
medium,50,4,1003,6741.9805603250825,0.253321,5917.42734413949,56.586968
medium,50,5,1004,6438.33474299307,0.252146,5921.960321306221,57.156849
medium,50,6,1005,6492.750421146667,0.255882,5993.524696927894,57.9084
medium,50,7,1006,7083.488418035609,0.249349,5902.436536144481,58.09234
medium,50,8,1007,6364.273468923616,0.257641,6032.919890094128,58.416686
medium,50,9,1008,6264.712297474492,0.263809,5806.184907668029,58.827945
medium,50,10,1009,6570.948904138793,0.269822,5787.989909321908,58.616198
